"idcalle","calle","localidad","departamento"
8454,"PSJE LOS ANZUELOS","MONTEVIDEO","MONTEVIDEO"
8454,"PSJE LOS ANZUELOS","SANTA CATALINA","MONTEVIDEO"
8455,"CAMINO LOMAS DE ZAMORA","SANTIAGO VAZQUEZ","MONTEVIDEO"
8455,"CAMINO LOMAS DE ZAMORA","MONTEVIDEO","MONTEVIDEO"
8456,"SENDA TRES","MONTEVIDEO","MONTEVIDEO"
8457,"SENDA DIEZ","MONTEVIDEO","MONTEVIDEO"
8458,"VEINTE BO NUEVO CAPRA","MONTEVIDEO","MONTEVIDEO"
8459,"LAS ROSAS","MONTEVIDEO","MONTEVIDEO"
8460,"MILENIO","MONTEVIDEO","MONTEVIDEO"
8461,"CERRITO","MONTEVIDEO","MONTEVIDEO"
8462,"ASENTAMIENTO VEINTICUATRO DE ENERO","MONTEVIDEO","MONTEVIDEO"
8463,"PASAJE UTE (ASENTAMIENTO TREINTA DE JULIO)","MONTEVIDEO","MONTEVIDEO"
8464,"SENDA NUEVE","MONTEVIDEO","MONTEVIDEO"
8465,"ADOLFO VAILLANT","MONTEVIDEO","MONTEVIDEO"
8466,"BELEN","MONTEVIDEO","MONTEVIDEO"
8467,"CAMINO GREGORIO CAMINO","MONTEVIDEO","MONTEVIDEO"
8468,"SARANDI","MONTEVIDEO","MONTEVIDEO"
8469,"VILLAVICENCIO","MONTEVIDEO","MONTEVIDEO"
8470,"LA GUARDIA","SANTIAGO VAZQUEZ","MONTEVIDEO"
8470,"LA GUARDIA","MONTEVIDEO","MONTEVIDEO"
8471,"PASAJE LA CACHILA (ASENTAMIENTO TREINTA DE JULIO)","MONTEVIDEO","MONTEVIDEO"
8472,"JOSE LUIS ZORRILLA DE SAN MARTIN","MONTEVIDEO","MONTEVIDEO"
8473,"DIOGENES HECQUET","MONTEVIDEO","MONTEVIDEO"
8474,"ANTONIO ZUBILLAGA","MONTEVIDEO","MONTEVIDEO"
8476,"LAS ROSAS ASENTAMIENTO VEINTICUATRO DE ENERO","MONTEVIDEO","MONTEVIDEO"
8477,"SENDA CUATRO","MONTEVIDEO","MONTEVIDEO"
8478,"BOQUERON","MONTEVIDEO","MONTEVIDEO"
8479,"SENDA CUATRO","MONTEVIDEO","MONTEVIDEO"
8480,"GOWLAND","MONTEVIDEO","MONTEVIDEO"
8481,"ESPERANZA","MONTEVIDEO","MONTEVIDEO"
8482,"PASAJE LANASUR (ASENTAMIENTO TREINTA DE JULIO)","MONTEVIDEO","MONTEVIDEO"
8483,"PEDRO DE VALDIVIA","MONTEVIDEO","MONTEVIDEO"
8484,"SENDA SIETE","MONTEVIDEO","MONTEVIDEO"
8485,"MARIMOÑAS","MONTEVIDEO","MONTEVIDEO"
8485,"MARIMOÑAS","SANTA CATALINA","MONTEVIDEO"
8486,"PIEDRAS","MONTEVIDEO","MONTEVIDEO"
8487,"RBLA FRANCIA","MONTEVIDEO","MONTEVIDEO"
8488,"INCLUSA","MONTEVIDEO","MONTEVIDEO"
8489,"MTRO JOSE ROMANELLO","MONTEVIDEO","MONTEVIDEO"
8490,"LUCERO","MONTEVIDEO","MONTEVIDEO"
8492,"ROQUE SAENZ PEÑA","MONTEVIDEO","MONTEVIDEO"
8493,"FERNANDO TORRES","MONTEVIDEO","MONTEVIDEO"
8494,"CONOCIDA MELO","MONTEVIDEO","MONTEVIDEO"
8495,"PASAJE MARIA ORRICO","MONTEVIDEO","MONTEVIDEO"
8496,"RAMBLA MAHATMA GANDHI","MONTEVIDEO","MONTEVIDEO"
8497,"BETETE","SANTIAGO VAZQUEZ","MONTEVIDEO"
8497,"BETETE","MONTEVIDEO","MONTEVIDEO"
8498,"DOCE","MONTEVIDEO","MONTEVIDEO"
8499,"MAURITANIA","MONTEVIDEO","MONTEVIDEO"
8500,"ETIOPIA","MONTEVIDEO","MONTEVIDEO"
8501,"SENDA UNO","MONTEVIDEO","MONTEVIDEO"
8502,"CNEL BOLOGNESE","MONTEVIDEO","MONTEVIDEO"
